corp_code,statement_type,prev_year,next_year,revenue,operating_income,prev_deriv,next_deriv
00130772,separate,2002,2003,134725971462,30839865875,native,native
00130772,separate,2004,2005,127193293986,6069354947,native,native
00130879,consolidated,2012,2013,10737613697,307918842,native,native
00130879,separate,2005,2006,7857712093,642205755,native,native
00131197,consolidated,2012,2013,244642589877,-14317654875,native,native
00131197,consolidated,2023,2024,59580989900,385794309,native,native
00131197,separate,2004,2005,46402387219,1433634663,native,native
00131197,separate,2007,2008,82301019352,3294737317,native,native
00131504,consolidated,2021,2022,160144310627,16730671656,native,native
00131692,consolidated,2012,2013,63864904782,5192374524,native,native
00131692,separate,2004,2005,17017903979,1822607053,native,native
00131780,separate,2003,2004,3344761672220,77683647379,native,native
00131780,separate,2006,2007,3973526389302,105751082690,native,native
00131832,consolidated,2011,2012,2337826260082,51844316540,native,native
00131832,separate,2007,2008,231610611460,8764528557,native,native
00131896,consolidated,2007,2008,113070360542,12468992907,native,native
00131896,consolidated,2012,2013,29133929040,2582256324,native,native
00131939,consolidated,2009,2010,40080581644,-1835955640,native,native
00131939,consolidated,2012,2013,29914462436,532548522,native,native
00131939,separate,2003,2004,10017298553,1328002256,native,native
00132202,consolidated,2020,2021,13020458794,905759720,native,native
00132202,separate,2020,2021,12214611483,747619451,native,native
00132211,consolidated,2012,2013,79678076701,-2461730691,native,native
00132211,separate,2007,2008,56064855051,4728426782,native,native
00132318,consolidated,2012,2013,99312272564,20707894782,native,native
00132318,separate,2003,2004,26932292080,2196900484,native,native
00132354,consolidated,2014,2015,172738456293,32904538018,native,native
00132354,separate,2014,2015,168399773414,31210791375,native,native
00132628,consolidated,2006,2007,39134540607,820351156,native,native
00132628,consolidated,2012,2013,13499309544,-72810393,native,native
00132637,consolidated,2011,2012,98087635104,3532059138,native,native
00132637,separate,2006,2007,78782632592,4498928671,native,native
00132725,consolidated,2020,2021,38490629614,7169707082,native,native
00132725,separate,2007,2008,19004244564,4831639330,native,native
00132804,consolidated,2012,2013,116730858017,-14599057855,native,native
00132868,consolidated,2012,2013,70248996739,1789238820,native,native
00132868,separate,2007,2008,15598132905,-1141612110,native,native
00132992,consolidated,2012,2013,770772171339,39609963372,native,native
00132992,separate,2007,2008,123306677150,8466091203,native,native
00133335,consolidated,2012,2013,33603352849,-1371983147,native,native
00133511,consolidated,2012,2013,74619414513,1090564331,native,native
00133511,separate,2007,2008,59070440137,2047360747,native,native
00133557,consolidated,2020,2021,14893382375,965354891,native,native
00133618,consolidated,2012,2013,1371437506,-254236063,native,native
00133618,separate,2003,2004,4163232079,1119406479,native,native
00133618,separate,2007,2008,2084756583,46576394,native,native
00133663,consolidated,2012,2013,28124091906,-164899248,native,native
00133663,separate,2007,2008,15741453114,98796647,native,native
00133706,consolidated,2023,2024,197077842281,12296467696,native,native
00133706,separate,2006,2007,30953570127,106874925,native,native
00133812,consolidated,2012,2013,161086308072,9360584236,native,native
00133812,separate,2003,2004,23700000,8671625000,native,native
00133858,consolidated,2015,2016,224897277424,18886417796,native,native
00133858,separate,2003,2004,66263365398,703258099,native,native
00133876,consolidated,2012,2013,42651100657,1723726161,native,native
00133876,separate,2006,2007,33135463707,2796984552,native,native
00134176,consolidated,2012,2013,8881220467,410056616,native,native
00134176,consolidated,2021,2022,7388636453,157100178,native,native
00134316,consolidated,2005,2006,0,0,recomposed,recomposed
00134316,consolidated,2006,2007,0,0,recomposed,recomposed
00134316,consolidated,2007,2008,0,0,recomposed,recomposed
00134316,consolidated,2010,2011,0,0,recomposed,recomposed
00134477,consolidated,2010,2011,137340361930,13627204751,native,native
00134477,separate,2004,2005,64332209922,3321761411,native,native
00134510,separate,2003,2004,53599490499,4410239287,native,native
00134565,consolidated,2012,2013,3001716259,-327470414,native,native
00134723,separate,2003,2004,36568659486,3962706875,native,native
00134723,separate,2005,2006,39909363096,3736498085,native,native
00134963,consolidated,2012,2013,174344000000,12643000000,native,native
00134963,separate,2003,2004,47499660326,1726701161,native,native
00135050,consolidated,2011,2012,7786894185,408910295,native,native
00135050,separate,2007,2008,23935392000,2543881862,native,native
00135111,consolidated,2012,2013,33815464347,3040943163,native,native
00135111,separate,2006,2007,20002257182,1845224056,native,native
00135467,separate,2002,2003,11067593000,255662000,native,native
00135777,consolidated,2012,2013,77684859297,3881122666,native,native
00135795,consolidated,2012,2013,154121915962,15913953990,native,native
00135962,consolidated,2012,2013,90725456197,7074941440,native,native
00135999,separate,2004,2005,230343750,,native,native
00135999,separate,2007,2008,989987385,7453660,native,native
00136004,consolidated,2013,2014,17948255728,291073710,native,native
00136004,separate,2007,2008,7446267313,94910216,native,native
00136086,consolidated,2011,2012,308161477717,14834163890,native,native
00136165,consolidated,2001,2002,60493598054,,native,native
00136165,consolidated,2008,2009,54308681685,3000978389,native,native
00136165,consolidated,2012,2013,16190023176,615983190,native,native
00136165,separate,2007,2008,16021017418,1232708647,native,native
00136226,consolidated,2011,2012,85562357958,2868242733,native,native
00136226,separate,2004,2005,25392819000,1407617000,native,native
00136226,separate,2007,2008,35633373556,2186061140,native,native
00136271,consolidated,2016,2017,244553867877,-4305134350,native,native
00136271,separate,2003,2004,79320161931,11446333877,native,native
00136271,separate,2007,2008,50400492027,2520500233,native,native
00136378,consolidated,2010,2011,549580829560,117162461779,native,native
00136402,separate,2013,2014,360000000,-132957463,native,native
00136448,consolidated,2016,2017,15767580223,1337251025,native,native
00136448,separate,2016,2017,15767580223,1376654221,native,native
00136457,consolidated,2012,2013,50427724009,996789138,native,native
00136457,separate,2006,2007,28194686000,659751000,native,native
