corp_code,corp_name,stock_code,market,fiscal_month,earliest_fy,latest_fy,distinct_fy_count
01456011,디어유,376300,KOSDAQ,12,2019,2026,8
00442905,디에스엠,104040,KOSDAQ,12,2006,2026,21
00530121,디에스케이,109740,KOSDAQ,12,2007,2026,20
00180865,디에이치엑스컴퍼니,031860,KOSDAQ,12,2000,2026,25
00660121,디에이테크놀로지,196490,KOSDAQ,12,2012,2026,15
00303192,디에이피,066900,KOSDAQ,12,2002,2026,25
00569691,디엔에프,092070,KOSDAQ,12,2005,2026,22
00115931,디오,039840,KOSDAQ,12,2000,2026,23
01089378,디와이디,219550,KOSDAQ,12,2015,2026,12
01336443,디와이씨,310870,KOSDAQ,12,2016,2026,11
00602136,디와이피엔에프,104460,KOSDAQ,12,2007,2026,20
00576789,디젠스,113810,KOSDAQ,12,2010,2026,17
00295547,디지아이,043360,KOSDAQ,12,1999,2026,28
00681373,디지캡,197140,KOSDAQ,12,2011,2026,16
00398808,디지털대성,068930,KOSDAQ,12,2001,2026,26
00231442,디지틀조선,033130,KOSDAQ,12,1998,2026,29
00533003,디케이락,105740,KOSDAQ,12,2008,2026,19
00892526,디케이앤디,263020,KOSDAQ,12,2016,2026,11
01137903,디케이티,290550,KOSDAQ,12,2016,2026,11
00371740,디티씨,066670,KOSDAQ,12,2001,2026,26
00675594,디티앤씨,187220,KOSDAQ,12,2012,2026,15
01437432,디티앤씨알오,383930,KOSDAQ,12,2020,2026,7
00629212,딜리,131180,KOSDAQ,12,2008,2026,19
01344831,딥노이드,315640,KOSDAQ,12,2019,2026,8
00799070,딥커머스,900110,KOSDAQ,12,2008,2026,19
01327092,라닉스,317120,KOSDAQ,12,2017,2026,10
01504211,라메디텍,462510,KOSDAQ,12,2022,2026,5
00911229,라온로보틱스,232680,KOSDAQ,12,2012,2026,15
00255433,라온시큐어,042510,KOSDAQ,12,2005,2026,22
00965512,라온텍,418420,KOSDAQ,12,2020,2026,7
01251489,라온피플,300120,KOSDAQ,12,2017,2026,10
00317104,라이온켐텍,171120,KOSDAQ,12,2011,2026,16
01569102,라이콤,388790,KOSDAQ,12,2020,2026,7
01058101,라파스,214260,KOSDAQ,12,2014,2026,13
00654272,램테크놀러지,171010,KOSDAQ,12,2011,2026,16
00545114,랩지노믹스,084650,KOSDAQ,12,2010,2026,17
01068348,러셀,217500,KOSDAQ,12,2013,2026,14
00261355,레드캡투어,038390,KOSDAQ,12,1997,2026,29
01011395,레몬,294140,KOSDAQ,12,2016,2026,11
01468061,레뷰코퍼레이션,443250,KOSDAQ,12,2021,2026,6
00828761,레이,228670,KOSDAQ,12,2017,2026,10
00899459,레이언스,228850,KOSDAQ,12,2013,2026,14
01573381,레이저쎌,412350,KOSDAQ,12,2020,2026,7
01161432,레이저옵텍,199550,KOSDAQ,12,2021,2026,6
01255652,레이크머티리얼즈,281740,KOSDAQ,12,2016,2026,11
01261644,레인보우로보틱스,277810,KOSDAQ,12,2018,2026,9
01063990,로보로보,215100,KOSDAQ,12,2015,2026,12
00536523,로보스타,090360,KOSDAQ,12,2009,2026,18
00946030,로보티즈,108490,KOSDAQ,12,2016,2026,11
01139266,로스웰,900260,KOSDAQ,12,2014,2026,13
00155948,로젠,033290,KOSDAQ,12,1999,2026,28
00238199,로지시스,067730,KOSDAQ,12,2013,2026,14
00363486,로체시스템즈,071280,KOSDAQ,12,2001,2026,26
01335143,로킷헬스케어,376900,KOSDAQ,12,2018,2026,9
01049167,롤링스톤,214610,KOSDAQ,12,2012,2026,14
01397620,루닛,328130,KOSDAQ,12,2019,2026,8
00406329,루멘스,038060,KOSDAQ,12,2004,2026,23
01636565,루미르,474170,KOSDAQ,12,2022,2026,5
00842619,리가켐바이오,141080,KOSDAQ,12,2011,2026,16
00369657,리노공업,058470,KOSDAQ,12,1999,2026,28
00180263,리더스코스메틱,016100,KOSDAQ,12,2001,2026,26
00117708,리드코프,012700,KOSDAQ,12,1997,2026,30
01275665,리메드,302550,KOSDAQ,12,2015,2026,12
01385005,리브스메드,491000,KOSDAQ,12,2023,2026,4
01685677,리센스메디컬,394420,KOSDAQ,12,2023,2026,4
00440712,리튬포어스,073570,KOSDAQ,12,2001,2026,26
01210066,리파인,377450,KOSDAQ,12,2019,2026,8
00616962,린드먼아시아,277070,KOSDAQ,12,2015,2026,12
00352499,링네트,042500,KOSDAQ,12,1999,2026,27
01035678,링크드,193250,KOSDAQ,12,2012,2026,15
01764099,링크솔루션,474650,KOSDAQ,12,2022,2026,5
01109955,링크제니시스,219420,KOSDAQ,12,2013,2026,14
01136977,마녀공장,439090,KOSDAQ,12,2021,2026,6
00770312,마니커에프앤지,195500,KOSDAQ,12,2017,2026,10
01267967,마이크로디지탈,305090,KOSDAQ,12,2017,2026,10
00568188,마이크로컨텍솔,098120,KOSDAQ,12,2006,2026,21
00624378,마이크로투나노,424980,KOSDAQ,12,2021,2026,6
00261373,마크로젠,038290,KOSDAQ,12,2000,2026,27
01709065,마키나락스,477850,KOSDAQ,12,2025,2026,2
01234507,매일유업,267980,KOSDAQ,12,2017,2026,10
00120924,매일홀딩스,005990,KOSDAQ,12,2002,2026,25
00596677,매커스,093520,KOSDAQ,12,2006,2026,21
00364740,머큐리,100590,KOSDAQ,12,2016,2026,11
