corp_code,corp_name,stock_code,market,fiscal_month,earliest_fy,latest_fy,distinct_fy_count
00140779,영보화학,014440,KOSPI,12,1997,2026,29
00140964,영원무역홀딩스,009970,KOSPI,12,2000,2026,27
00141149,영진약품,003520,KOSPI,12,1999,2026,28
00141307,영풍,000670,KOSPI,12,1999,2026,28
00141413,영화금속,012280,KOSPI,12,1999,2026,28
00141477,영흥,012160,KOSPI,12,2007,2026,20
00141529,오뚜기,007310,KOSPI,12,1999,2026,28
00141626,오리엔트바이오,002630,KOSPI,3,2000,2026,27
01238169,오리온,271560,KOSPI,12,2017,2026,10
00117577,오리온홀딩스,001800,KOSPI,12,1999,2026,28
00168331,온타이드,005320,KOSPI,12,1999,2026,28
00144720,와이투솔루션,011690,KOSPI,12,2000,2026,25
01350869,우리금융지주,316140,KOSPI,12,2017,2026,10
00142661,우성,006980,KOSPI,12,2000,2026,27
00132868,우성머티리얼스,011300,KOSPI,12,1997,2026,30
00142883,우신시스템,017370,KOSPI,12,1999,2026,28
00173944,우진,105840,KOSPI,12,2007,2026,20
00143262,우진아이엔에스,010400,KOSPI,12,2016,2026,11
00303217,우진플라임,049800,KOSPI,12,1999,2026,28
00628189,웅진씽크빅,095720,KOSPI,12,2006,2026,21
00143794,원림,005820,KOSPI,12,2000,2026,27
00104999,윌비스,008600,KOSPI,12,1999,2026,28
00158963,유나이티드,033270,KOSPI,12,2001,2026,23
00159786,유니드,014830,KOSPI,12,2002,2026,25
01702017,유니드비티플러스,446070,KOSPI,12,2022,2026,5
00144252,유니온,000910,KOSPI,12,1997,2026,30
00369833,유니온머티리얼,047400,KOSPI,12,2007,2026,20
00137207,유니켐,011330,KOSPI,12,1999,2026,28
00414601,유니퀘스트,077500,KOSPI,12,2002,2026,25
00174004,유성기업,002920,KOSPI,12,1999,2026,28
00163691,유수홀딩스,000700,KOSPI,12,2000,2026,27
00117601,유안타증권,003470,KOSPI,12,2000,2026,27
00416654,유엔젤,072130,KOSPI,12,2001,2026,26
00144818,유유제약,000220,KOSPI,12,2000,2026,27
00131054,유진증권,001200,KOSPI,12,2001,2026,26
00145109,유한양행,000100,KOSPI,12,1999,2026,28
00145190,유화증권,003460,KOSPI,12,1999,2026,28
00145260,율촌화학,008730,KOSPI,12,1997,2026,30
00145446,이건산업,008250,KOSPI,12,2000,2026,27
00145464,이구산업,025820,KOSPI,12,1999,2026,28
00565154,이노션,214320,KOSPI,12,2013,2026,14
00872984,이마트,139480,KOSPI,12,2010,2026,17
01762569,이수스페셜티케미컬,457190,KOSPI,12,2023,2026,4
