rcept_no,corp_code,statement,basis,classification,note
20020814000645,00138516,CF,separate,M2,
20020814000900,00139889,IS,separate,M2,
20020814000973,00126089,BS,separate,M2,
20020814001204,00107987,IS,separate,M2,
20020814001408,00110893,IS,separate,M2,
20020905000196,00164779,BS,separate,M3,대 차 대 조 표제55(당)기 반기 2002년 6월 30일 현재제54(전)기 반기 2001년 6월 30일 현재제54기 연간 2001년 12월 3
20020905000196,00164779,IS,separate,M2,
20021104000032,00146083,APPR,separate,M2,
20021111000167,00350020,CF,separate,M2,
20021114000364,00125822,APPR,separate,M2,
20021114000364,00125822,IS,separate,M2,
20021114000437,00267942,BS,separate,M2,
20021127000038,00146083,APPR,separate,M2,
20030213000143,00123718,BS,separate,M2,
20030214000494,00146083,APPR,separate,M2,
20030331000023,00131197,APPR,separate,M2,
20030331000232,00125822,APPR,separate,M2,
20030331000232,00125822,IS,separate,M2,
20030331001025,00147222,APPR,separate,M2,
20030514001059,00147222,APPR,separate,M2,
20030515001654,00143226,CF,separate,M2,
20030515001654,00143226,IS,separate,M2,
20030627000013,00123718,BS,separate,M2,
20030630000060,00110875,BS,separate,M2,
20030808000278,00192499,BS,separate,M2,
20030813000236,00161046,CF,separate,M2,
20030813000353,00298447,IS,separate,M2,
20030813000484,00299002,CF,separate,M2,
20030813000490,00145464,BS,separate,M2,
20030813000498,00298447,IS,separate,M2,
20030813000546,00263371,BS,separate,M2,
20030813000546,00263371,IS,separate,M2,
20030814000049,00143907,APPR,separate,M2,
20030814000095,00122898,APPR,separate,M3,이 익 잉 여 금 처 분 계 산 서제 32 기 2002. 01. 01부터 2002. 12. 31 까지제 31 기 2001. 01. 01부터 20
20030814000143,00137058,IS,separate,M2,
20030814000249,00148610,APPR,separate,M2,
20030814000357,00143226,CF,separate,M2,
20030814000462,00130684,BS,consolidated,M2,
20030814000462,00130684,BS,separate,M2,
20030814000548,00175173,CF,separate,M2,
20030814000598,00113207,CF,separate,M2,
20030814000618,00265421,CF,separate,M2,
20030814000969,00153524,APPR,separate,M2,
20030814000987,00384717,CF,separate,M2,
20030814001427,00161046,CF,separate,M2,
20030814001480,00145552,APPR,separate,M2,
20030814001568,00155948,IS,separate,M2,
20030814001711,00153393,SCE,consolidated,M2,
20030814001741,00362858,BS,separate,M2,
20030819000133,00263371,BS,separate,M2,
20030819000133,00263371,IS,separate,M2,
20031027000178,00384717,CF,separate,M2,
20031112000031,00122898,APPR,separate,M3,이 익 잉 여 금 처 분 계 산 서제 32 기 2002. 01. 01부터 2002. 12. 31 까지제 31 기 2001. 01. 01부터 20
20031112000089,00145552,APPR,separate,M2,
20031113000145,00114154,IS,separate,M2,
20031113000165,00159740,APPR,separate,M2,
20031113000351,00238153,IS,separate,M2,
20031113000362,00350020,IS,separate,M2,
20031113000421,00171265,CF,separate,M2,
20031113000502,00348034,CF,separate,M2,
20031113000592,00348034,CF,separate,M2,
20031114000045,00127200,BS,consolidated,M2,
20031114000087,00130684,BS,consolidated,M2,
20031114000087,00130684,BS,separate,M2,
20031114000182,00157539,APPR,separate,M2,
20031114000248,00163345,CF,separate,M3,현 금 흐 름 표제 27 기 분기 (2003.01.01 부터 2003.09.30 까지)제 26 기 분기 (2002.01.01 부터 2002.09
20031114000265,00153524,APPR,separate,M2,
20031114000344,00222435,CF,separate,M2,
20031114000372,00226352,CF,separate,M2,
20031114000457,00101549,CF,separate,M2,
20031114000488,00263371,CF,separate,M2,
20031114000600,00145437,CF,separate,M2,
20031114000739,00127200,BS,consolidated,M2,
20031114000754,00118026,BS,separate,M2,
20031114000770,00365989,APPR,separate,M2,
20031114000935,00145464,BS,separate,M2,
20031114001156,00148610,APPR,separate,M2,
20031114001177,00145464,BS,separate,M2,
20031114001203,00101549,CF,separate,M2,
20031114001256,00153393,SCE,consolidated,M2,
20031114001298,00146542,APPR,separate,file_missing,
20031114001563,00120076,BS,consolidated,M2,
20031114001672,00131780,CF,separate,M2,
20031114001681,00146542,APPR,separate,file_missing,
20031127000025,00163345,CF,separate,M3,현 금 흐 름 표제 27 기 분기 (2003.01.01 부터 2003.09.30 까지)제 26 기 분기 (2002.01.01 부터 2002.09
20031128000091,00238153,IS,separate,M2,
20031128000109,00171265,CF,separate,M2,
20031128000343,00348034,CF,separate,M2,
20031128000482,00145552,APPR,separate,M2,
20031129000061,00226352,CF,separate,M2,
20031201000115,00222435,CF,separate,M2,
20031203000041,00146542,APPR,separate,file_missing,
20031203000057,00145437,CF,separate,M2,
20031203000105,00114154,IS,separate,M2,
20031203000162,00159740,APPR,separate,M2,
20031208000065,00163345,CF,separate,M3,현 금 흐 름 표제 27 기 분기 (2003.01.01 부터 2003.09.30 까지)제 26 기 분기 (2002.01.01 부터 2002.09
20040213000261,00148610,APPR,separate,M2,
20040213000546,00115694,IS,separate,M2,
20040213000597,00173698,APPR,separate,M2,
20040310000161,00161781,CF,separate,M2,
20040312000952,00115694,IS,separate,M2,
20040329000349,00134176,BS,separate,M2,
20040329000607,00175173,CF,separate,M2,
20040329001426,00258421,SCE,consolidated,M2,
20040329001471,00258421,SCE,consolidated,M2,
20040330000098,00117212,CF,consolidated,M2,
20040330000282,00161709,CF,separate,M2,
20040330001149,00125974,APPR,separate,M2,
20040330001419,00266952,BS,separate,M2,
20040330002312,00149646,BS,separate,M3,대 차 대 조 표제 43 기 2003. 12. 31 현재제 42 기 2002. 12. 31 현재제 41 기 2001. 12. 31 현재(단위 :
20040330002320,00160418,CF,separate,M2,
20040331000783,00407036,BS,separate,M2,
20040331000783,00407036,IS,separate,M2,
20040409001038,00406727,APPR,separate,M2,
20040409001038,00406727,CF,separate,M2,
