corp_code,corp_name,fiscal_year,fiscal_period,basis,field,db_won,report_won,category,evidence_acode
00128555,삼천리,2026,H1,separate,trade_payables,419391147500,419391148,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
00128555,삼천리,2026,Q1,separate,trade_payables,759052134444,759052134,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
00128555,삼천리,2025,FY,separate,trade_payables,659101338023,659101338,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
00125488,삼륭물산,2025,Q3,separate,tax_expense,-44710790,491314997,UNRESOLVED,
00125488,삼륭물산,2025,Q3,consolidated,tax_expense,-189589063,671634064,UNRESOLVED,
01090471,SFA넥셀,2026,Q1,consolidated,trade_payables,11108575800,10943704050,CONCEPT_GAP,ifrs-full_TradeAndOtherPayablesToTradeSuppliers
01090471,SFA넥셀,2026,Q1,separate,trade_payables,11108575800,10943704050,CONCEPT_GAP,ifrs-full_TradeAndOtherPayablesToTradeSuppliers
01090471,SFA넥셀,2025,FY,consolidated,trade_payables,13282610427,10119070829,CONCEPT_GAP,ifrs-full_TradeAndOtherPayablesToTradeSuppliers
01090471,SFA넥셀,2025,FY,separate,trade_payables,13282610427,10117994654,CONCEPT_GAP,ifrs-full_TradeAndOtherPayablesToTradeSuppliers
01494154,지니너스,2025,FY,consolidated,trade_payables,49133811,2491120121,CONCEPT_GAP,ifrs-full_TradeAndOtherPayablesToTradeSuppliers
01494154,지니너스,2025,H1,consolidated,trade_payables,177257168,1438687760,CONCEPT_GAP,ifrs-full_TradeAndOtherPayablesToTradeSuppliers
01428948,오아,2025,Q3,consolidated,tax_expense,211,362362532,UNRESOLVED,
01428948,오아,2025,Q3,separate,tax_expense,75910644,362362532,UNRESOLVED,
01587056,엔젯,2025,Q3,consolidated,tax_expense,0,-960508319,CONCEPT_GAP,ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax
01398151,밸로프,2026,Q1,consolidated,trade_payables,200000000,4090620308,CONCEPT_GAP,dart_LongTermTradeAndOtherNonCurrentPayables
01398151,밸로프,2026,Q1,separate,trade_payables,200000000,2935037815,CONCEPT_GAP,dart_LongTermTradeAndOtherNonCurrentPayables
01398151,밸로프,2025,FY,consolidated,trade_payables,200000000,3525640964,CONCEPT_GAP,dart_LongTermTradeAndOtherNonCurrentPayables
01398151,밸로프,2025,FY,separate,trade_payables,200000000,2799149462,CONCEPT_GAP,dart_LongTermTradeAndOtherNonCurrentPayables
01398151,밸로프,2025,Q3,consolidated,trade_payables,200000000,3556087472,CONCEPT_GAP,dart_LongTermTradeAndOtherNonCurrentPayables
01398151,밸로프,2025,Q3,separate,trade_payables,200000000,1970566619,CONCEPT_GAP,dart_LongTermTradeAndOtherNonCurrentPayables
00137289,이엘씨,2026,H1,separate,revenue,6927836735,9679624845,CONCEPT_GAP,dart_CostOfSalesFromSaleOfGoods
00137289,이엘씨,2026,H1,consolidated,revenue,14587138763,28616905939,CONCEPT_GAP,dart_CostOfSalesFromSaleOfGoods
00138729,아세아제지,2025,Q3,separate,dividends_paid,-8745804100,-8746221000,CONCEPT_GAP,ifrs-full_DividendsPaidOrdinaryShares
00138729,아세아제지,2025,Q3,consolidated,dividends_paid,-8745804100,-8746221000,CONCEPT_GAP,ifrs-full_DividendsPaidOrdinaryShares
00138729,아세아제지,2025,H1,separate,dividends_paid,-8745804100,-8746221000,CONCEPT_GAP,ifrs-full_DividendsPaidOrdinaryShares
00138729,아세아제지,2025,H1,consolidated,dividends_paid,-8745804100,-8746221000,CONCEPT_GAP,ifrs-full_DividendsPaidOrdinaryShares
00144252,유니온,2025,H1,consolidated,controlling_ni,5566982137,357,AXIS_EXCLUDED_UNMAPPED,ifrs-full_ProfitLoss
01181807,형지글로벌,2025,FY,consolidated,controlling_ni,-34472004513,-34335447030,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00348292,한빛소프트,2025,FY,consolidated,controlling_ni,5114608212,5213251253,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00348292,한빛소프트,2025,H1,consolidated,controlling_ni,1080037570,1277042405,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00348292,한빛소프트,2025,Q1,consolidated,controlling_ni,372312706,478222943,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00348292,한빛소프트,2025,Q3,consolidated,controlling_ni,1618484216,1555423146,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00348292,한빛소프트,2024,FY,consolidated,controlling_ni,1679022381,1717743668,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00304915,코리아에셋투자증권,2026,Q1,separate,revenue,12231095031,72379666232,ADDITIVE_PAIR_CANDIDATE,
00304915,코리아에셋투자증권,2026,Q3,separate,revenue,38169949162,195589480084,ADDITIVE_PAIR_CANDIDATE,
00304915,코리아에셋투자증권,2025,Q3,separate,revenue,40703032166,206400079121,ADDITIVE_PAIR_CANDIDATE,
01765256,동국씨엠,2025,FY,separate,trade_payables,212143160899,298700,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
01765256,동국씨엠,2025,H1,consolidated,trade_payables,332397977990,446037000000,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
00158024,KBI메탈,2024,FY,consolidated,controlling_ni,1161915065,809559327,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00131054,유진증권,2026,Q1,separate,revenue,152501830087,998484042172,ADDITIVE_PAIR_CANDIDATE,
